Gemeente;NIS-code;Indicator;Jaar;Type;Mediaanprijs (in euro)
Brasschaat;11008;Mediaanprijs huizen;2013;Alle huizen;319000,0
Brasschaat;11008;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;285000,0
Brasschaat;11008;Mediaanprijs huizen;2013;Open bebouwing;440000,0
Brasschaat;11008;Mediaanprijs huizen;2014;Alle huizen;308500,0
Brasschaat;11008;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;261713,0
Brasschaat;11008;Mediaanprijs huizen;2014;Open bebouwing;450000,0
Brasschaat;11008;Mediaanprijs huizen;2015;Alle huizen;308500,0
Brasschaat;11008;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;270000,0
Brasschaat;11008;Mediaanprijs huizen;2015;Open bebouwing;449500,0
Brasschaat;11008;Mediaanprijs huizen;2016;Alle huizen;320000,0
Brasschaat;11008;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;280000,0
Brasschaat;11008;Mediaanprijs huizen;2016;Open bebouwing;460000,0
Brasschaat;11008;Mediaanprijs huizen;2017;Alle huizen;315000,0
Brasschaat;11008;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;269500,0
Brasschaat;11008;Mediaanprijs huizen;2017;Open bebouwing;526000,0
Brasschaat;11008;Mediaanprijs huizen;2018;Alle huizen;335000,0
Brasschaat;11008;Mediaanprijs huizen;2018;Gesloten/halfopen bebouwing;300000,0
Brasschaat;11008;Mediaanprijs huizen;2018;Open bebouwing;469000,0
Brasschaat;11008;Mediaanprijs huizen;2019;Alle huizen;370000,0
Brasschaat;11008;Mediaanprijs huizen;2019;Gesloten/halfopen bebouwing;330000,0
Brasschaat;11008;Mediaanprijs huizen;2019;Open bebouwing;545000,0
Brasschaat;11008;Mediaanprijs huizen;2020;Alle huizen;401000,0
Brasschaat;11008;Mediaanprijs huizen;2020;Gesloten/halfopen bebouwing;345000,0
Brasschaat;11008;Mediaanprijs huizen;2020;Open bebouwing;612500,0
Brasschaat;11008;Mediaanprijs huizen;2021;Alle huizen;422000,0
Brasschaat;11008;Mediaanprijs huizen;2021;Gesloten/halfopen bebouwing;365000,0
Brasschaat;11008;Mediaanprijs huizen;2021;Open bebouwing;600000,0
Brasschaat;11008;Mediaanprijs huizen;2022;Alle huizen;455000,0
Brasschaat;11008;Mediaanprijs huizen;2022;Gesloten/halfopen bebouwing;399000,0
Brasschaat;11008;Mediaanprijs huizen;2022;Open bebouwing;726751,0
Brasschaat;11008;Mediaanprijs huizen;2023;Alle huizen;470000,0
Brasschaat;11008;Mediaanprijs huizen;2023;Gesloten/halfopen bebouwing;400000,0
Brasschaat;11008;Mediaanprijs huizen;2023;Open bebouwing;795000,0
Brasschaat;11008;Mediaanprijs huizen;2024;Alle huizen;495000,0
Brasschaat;11008;Mediaanprijs huizen;2024;Gesloten/halfopen bebouwing;420000,0
